Method,is,rmse
DTW_MATRIX,sri lanka_1.5.1_2961,6.690150539
COEFFICIENTS_MATRIX,sri lanka_1.5.1_2961,6.732766943
R_SQUARE_MATRIX,sri lanka_1.5.1_2961,6.773627144
PEARSON_CORR_MATRIX,sri lanka_1.5.1_2961,6.76940127
T_TEST_MATRIX,sri lanka_1.5.1_2961,6.757575121
sgd_cap,sri lanka_1.5.1_2961,6.765635237
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2270,0.592379065
DTW_MATRIX,sri lanka_1.4.1_2270,0.587492239
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2270,0.588852509
R_SQUARE_MATRIX,sri lanka_1.4.1_2270,0.618005161
PEARSON_CORR_MATRIX,sri lanka_1.4.1_2270,0.625821535
sgd_cap,sri lanka_1.4.1_2270,0.647918816
T_TEST_MATRIX,sri lanka_1.4.1_2269,0.552797049
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2269,0.560252682
DTW_MATRIX,sri lanka_1.4.1_2269,0.627127577
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2269,0.566649264
R_SQUARE_MATRIX,sri lanka_1.4.1_2269,0.556547091
sgd_cap,sri lanka_1.4.1_2269,0.51247156
PEARSON_CORR_MATRIX,sri lanka_1.4.1_2271,0.797038152
T_TEST_MATRIX,sri lanka_1.4.1_2271,0.936437559
GRANGER_CAUSALITY_MATRIX,sri lanka_1.4.1_2271,0.713014429
DTW_MATRIX,sri lanka_1.4.1_2271,0.73057025
COEFFICIENTS_MATRIX,sri lanka_1.4.1_2271,0.70267265
sgd_cap,sri lanka_1.4.1_2271,0.784872371
R_SQUARE_MATRIX,sri lanka_1.5.1_3307,3.615094225
PEARSON_CORR_MATRIX,sri lanka_1.5.1_3307,3.53820952
T_TEST_MATRIX,sri lanka_1.5.1_3307,3.614781193
GRANGER_CAUSALITY_MATRIX,sri lanka_1.5.1_3307,3.534428281
DTW_MATRIX,sri lanka_1.5.1_3307,3.577632591
sgd_cap,sri lanka_1.5.1_3307,3.447234569
DTW_MATRIX,sri lanka_1.5.1_2957,14.49622376
COEFFICIENTS_MATRIX,sri lanka_1.5.1_2957,14.47022682
R_SQUARE_MATRIX,sri lanka_1.5.1_2957,14.55921143
PEARSON_CORR_MATRIX,sri lanka_1.5.1_2957,14.52471057
T_TEST_MATRIX,sri lanka_1.5.1_2957,14.47937488
sgd_cap,sri lanka_1.5.1_2957,14.41571977
